Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
CFUN/ETH 	2.04 	1882.34
SPC/ETH 	0.00 	1882.34
CAN/ETH 	3.32 	1885.66
VLC/ETH 	10.88 	1896.54
CHAT/ETH 	2.12 	1898.66
===> 	exx 	1898.66
===> 	flowbtc 	0.00
===> 	foxbit 	0.00
===> 	fybse 	0.00
===> 	fybsg 	0.00
ETH/BTC 	582.59 	582.59
ETH/EUR 	0.21 	582.80
ETH/HKD 	0.02 	582.82
ETH/USD 	0.07 	582.89
WINGS/ETH 	0.27 	583.15
SNT/ETH 	0.12 	583.27
ADX/ETH 	0.09 	583.36
SALT/ETH 	0.14 	583.50
MANA/ETH 	2.15 	585.65
MGO/ETH 	0.00 	585.65
ZRX/ETH 	1.09 	586.74
IFT/ETH 	0.04 	586.78
AVT/ETH 	0.34 	587.11
IND/ETH 	0.00 	587.11
PIX/ETH 	0.18 	587.29
CDT/ETH 	0.01 	587.30
TRX/ETH 	13.75 	601.05
AST/ETH 	0.00 	601.05
LTC/ETH 	2.90 	603.95
FLIXX/ETH 	0.02 	603.97
LEV/ETH 	0.00 	603.97
BCPT/ETH 	0.66 	604.63
ETH/DAI 	0.00 	604.63
LOC/ETH 	0.05 	604.68
KEY/ETH 	1.72 	606.40
TRAC/ETH 	0.01 	606.41
GTO/ETH 	0.02 	606.44
HGT/ETH 	0.18 	606.62
GAT/ETH 	0.00 	606.62
MKR/ETH 	0.00 	606.62
AMB/ETH 	5.67 	612.29
CAN/ETH 	0.09 	612.38
ZLA/ETH 	0.00 	612.38
HVN/ETH 	0.00 	612.38
GIM/ETH 	0.00 	612.38
CLN/ETH 	0.00 	612.38
CBT/ETH 	0.01 	612.39
GEN/ETH 	1.42 	613.81
===> 	gatecoin 	613.81
ETH/USDT 	0.30 	0.30
AE/ETH 	47.61 	47.91
CDT/ETH 	4.23 	52.14
RDN/ETH 	2.71 	54.85
STX/ETH 	30.85 	85.70
KNC/ETH 	27.54 	113.24
LINK/ETH 	3.28 	116.51
REQ/ETH 	0.61 	117.12
RCN/ETH 	1.81 	118.93
TRX/ETH 	40.15 	159.08
ARN/ETH 	6.56 	165.64
KICK/ETH 	9.48 	175.12
BNT/ETH 	12.37 	187.49
VEN/ETH 	140.58 	328.07
MCO/ETH 	0.85 	328.92
FUN/ETH 	5.62 	334.53
DATA/ETH 	17.20 	351.73
RLC/ETH 	9.14 	360.87
ZSC/ETH 	277.22 	638.10
WINGS/ETH 	3.37 	641.47
CTR/ETH 	0.28 	641.75
MDA/ETH 	9.81 	651.56
GNT/ETH 	5.23 	656.79
GEM/ETH 	21.38 	678.17
RFR/ETH 	29.06 	707.22
DADI/ETH 	13.42 	720.64
ABT/ETH 	17.85 	738.50
LEDU/ETH 	10.35 	748.85
OST/ETH 	0.72 	749.57
XLM/ETH 	23.29 	772.86
MOBI/ETH 	22.06 	794.92
OCN/ETH 	50.92 	845.85
ZPT/ETH 	4.03 	849.88
COFI/ETH 	2.87 	852.74
JNT/ETH 	39.04 	891.78
BLZ/ETH 	16.45 	908.23
MTN/ETH 	11.37 	919.60
RUFF/ETH 	7.52 	927.12
TNC/ETH 	15.06 	942.18
ZIL/ETH 	30.42 	972.60
TIO/ETH 	6.83 	979.43
BTO/ETH 	35.15 	1014.58
THETA/ETH 	20.88 	1035.46
DDD/ETH 	97.62 	1133.09
MKR/ETH 	4.60 	1137.69
SMT/ETH 	28.37 	1166.06
MDT/ETH 	8.12 	1174.18
MANA/ETH 	2.84 	1177.02
LUN/ETH 	5.75 	1182.77
SALT/ETH 	4.57 	1187.33
FUEL/ETH 	7.64 	1194.97
ELF/ETH 	16.44 	1211.41
DRGN/ETH 	8.19 	1219.60
GTC/ETH 	78.81 	1298.41
QLC/ETH 	12.56 	1310.97
DBC/ETH 	29.85 	1340.82
BNTY/ETH 	1.82 	1342.64
LEND/ETH 	5.68 	1348.32
ICX/ETH 	5.22 	1353.54
MDS/ETH 	2.49 	1356.03
DGD/ETH 	4.21 	1360.24
QASH/ETH 	13.09 	1373.33
POWR/ETH 	4.32 	1377.65
HSR/ETH 	5.46 	1383.11
QSP/ETH 	4.14 	1387.25
INK/ETH 	54.18 	1441.43
MED/ETH 	67.19 	1508.62
BOT/ETH 	106.15 	1614.77
QBT/ETH 	141.31 	1756.08
GNX/ETH 	3.81 	1759.90
NAS/ETH 	188.85 	1948.75
ETH/BTC 	931.28 	2880.03
ETC/ETH 	41.53 	2921.56
QTUM/ETH 	23.63 	2945.19
ZRX/ETH 	5.95 	2951.13
DNT/ETH 	1.16 	2952.29
DPY/ETH 	14.97 	2967.26
OAX/ETH 	17.21 	2984.47
REP/ETH 	19.86 	3004.33
LRC/ETH 	37.23 	3041.55
PST/ETH 	24.13 	3065.68
BCDN/ETH 	8.79 	3074.47
TNT/ETH 	2.28 	3076.75
SNT/ETH 	8.40 	3085.15
BTM/ETH 	66.83 	3151.98
LLT/ETH 	0.06 	3152.04
SNET/ETH 	13.23 	3165.27
OMG/ETH 	19.62 	3184.89
PAY/ETH 	43.63 	3228.52
BAT/ETH 	2.50 	3231.01
CVC/ETH 	83.28 	3314.29
STORJ/ETH 	4.25 	3318.54
EOS/ETH 	120.22 	3438.76
TIPS/ETH 	183.28 	3622.05
CS/ETH 	10.21 	3632.26
MAN/ETH 	23.28 	3655.53
REM/ETH 	44.80 	3700.33
LYM/ETH 	102.77 	3803.11
INSTAR/ETH 	25.97 	3829.07
ONT/ETH 	54.71 	3883.79
BFT/ETH 	27.14 	3910.93
IHT/ETH 	27.33 	3938.25
SENC/ETH 	47.28 	3985.53
TOMO/ETH 	19.53 	4005.06
ELEC/ETH 	10.34 	4015.41
SHIP/ETH 	14.00 	4029.40
TFD/ETH 	11.81 	4041.21
HAV/ETH 	3.68 	4044.89
HUR/ETH 	18.67 	4063.56
LST/ETH 	9.49 	4073.05
SWTH/ETH 	29.31 	4102.36
LRN/ETH 	0.97 	4103.33
DOCK/ETH 	14.61 	4117.94
IOTX/ETH 	0.00 	4117.94
RED/ETH 	19.33 	4137.27
LBA/ETH 	37.13 	4174.40
KAN/ETH 	0.00 	4174.40
OPEN/ETH 	0.00 	4174.40
MITH/ETH 	10.63 	4185.03
SKM/ETH 	35.34 	4220.37
===> 	gateio 	4220.37
ETH/BTC 	14007.14 	14007.14
ETH/EUR 	0.78 	14007.93
ETH/USD 	0.96 	14008.89
===> 	gdax 	14008.89
ETH/BTC 	13206.24 	13206.24
ETH/USD 	2.24 	13208.48
ZEC/ETH 	292.29 	13500.77
===> 	gemini 	13500.77
===> 	getbtc 	0.00
INC/ETH 	820.97 	820.97
BKBT/ETH 	58.82 	879.79
AE/ETH 	43.85 	923.64
REN/ETH 	18.33 	941.97
PC/ETH 	30.78 	972.75
GET/ETH 	123.81 	1096.56
MAN/ETH 	228.27 	1324.83
HOT/ETH 	43.38 	1368.20
GTC/ETH 	73.38 	1441.58
PORTAL/ETH 	77.12 	1518.70
DATX/ETH 	84.77 	1603.47
18T/ETH 	90.68 	1694.15
BUT/ETH 	121.40 	1815.55
LXT/ETH 	80.72 	1896.27
CDC/ETH 	31.43 	1927.70
UUU/ETH 	114.42 	2042.13
AAC/ETH 	38.58 	2080.71
CNN/ETH 	418.82 	2499.53
UIP/ETH 	73.91 	2573.44
UC/ETH 	102.63 	2676.07
GSC/ETH 	287.47 	2963.54
IIC/ETH 	82.37 	3045.91
MEX/ETH 	71.93 	3117.84
EGCC/ETH 	1396.42 	4514.26
SHE/ETH 	44.51 	4558.77
===> 	hadax 	4558.77
ETH/BTC 	171046.73 	171046.73
ETH/USDT 	28.62 	171075.35
FYN/ETH 	4.52 	171079.87
SNM/ETH 	6.38 	171086.24
SNT/ETH 	38.02 	171124.26
PAY/ETH 	26.18 	171150.45
OAX/ETH 	6.42 	171156.87
OMG/ETH 	96.42 	171253.28
BQX/ETH 	20.88 	171274.17
CFI/ETH 	11.63 	171285.80
PTOY/ETH 	0.63 	171286.43
1ST/ETH 	5.92 	171292.35
XAUR/ETH 	7.91 	171300.26
TAAS/ETH 	12.28 	171312.54
TIME/ETH 	17.52 	171330.07
DICE/ETH 	15.42 	171345.49
SWT/ETH 	15.15 	171360.63
XMR/ETH 	219.38 	171580.01
ETC/ETH 	58.87 	171638.88
DASH/ETH 	45.35 	171684.23
ZEC/ETH 	32.24 	171716.47
PLU/ETH 	10.60 	171727.07
GNO/ETH 	16.12 	171743.18
NET/ETH 	19.00 	171762.19
SNC/ETH 	91.86 	171854.05
ADX/ETH 	14.02 	171868.07
DAO.Casino/ETH 	43.52 	171911.59
EOS/ETH 	115.14 	172026.73
DENT/ETH 	148.11 	172174.84
SAN/ETH 	5.94 	172180.78
MSP/ETH 	5.17 	172185.95
DDF/ETH 	3.73 	172189.68
XTZ/ETH 	1270.12 	173459.80
UET/ETH 	7.03 	173466.83
MYB/ETH 	75.18 	173542.01
SUR/ETH 	6.39 	173548.39
IXT/ETH 	35.57 	173583.96
PLR/ETH 	9.94 	173593.90
TIX/ETH 	4.94 	173598.84
NDC/ETH 	9.86 	173608.70
PRO/ETH 	608.76 	174217.45
AVT/ETH 	5.49 	174222.94
COSS/ETH 	27.33 	174250.27
BNT/ETH 	4.08 	174254.36
QAU/ETH 	2.07 	174256.43
TNT/ETH 	7.64 	174264.07
STX/ETH 	16.33 	174280.40
BitClave/ETH 	2.58 	174282.97
BCH/ETH 	461.23 	174744.20
ENG/ETH 	47.81 	174792.01
BAS/ETH 	19.95 	174811.96
ZRX/ETH 	19.56 	174831.52
ICOS/ETH 	10.08 	174841.60
QTUM/ETH 	2.60 	174844.20
VERI/ETH 	26.16 	174870.36
IGNIS/ETH 	7.59 	174877.95
PRG/ETH 	24.20 	174902.15
BMC/ETH 	14.28 	174916.43
CND/ETH 	12.08 	174928.51
CDT/ETH 	6.09 	174934.59
FUN/ETH 	16.19 	174950.79
HVN/ETH 	21.75 	174972.54
